method,reference,SSIM_original,QSSIM_original,PSNR_original,PCC_original,DeltaE_original,SSIM_reference,QSSIM_reference,PSNR_reference,PCC_reference,DeltaE_reference
histogram_matching,ref1,0.8856637537218746,0.8856637537218746,16.051249779905646,0.7963166070296249,16.704781594311886,0.09395850400468642,0.09395850400468642,14.700851075776356,0.4496584305518994,14.75991779022416
histogram_matching,ref2,0.8812639301866358,0.8812639301866358,17.206441066564214,0.777951794638433,16.42450699622188,0.05678682298856826,0.05678682298856826,12.528152075051576,0.2502528012435313,19.28384367458865
histogram_matching,ref3,0.7873643663738151,0.7873643663738151,12.937609719981294,0.7300701746716006,20.61878547911506,0.09013009100175451,0.09013009100175451,11.58074365252904,0.4614499969061847,20.045940252241017
macenko,ref1,0.9018621597604818,0.9018621597604818,18.452153757800772,0.8543349088027937,12.962727630342094,0.10071811637200567,0.10071811637200567,14.525727611912332,0.46966787847396746,16.470961551751287
macenko,ref2,0.9136319916464367,0.9136319916464367,18.875918113472224,0.8129187532017894,14.112090716840138,0.06318211857115583,0.06318211857115583,12.952795650148822,0.2370800995449027,19.21864608385724
macenko,ref3,0.8414767659289384,0.8414767659289384,15.911801129561036,0.8008062904626712,18.109839840068087,0.09943295814123039,0.09943295814123039,10.304232655604311,0.49952261673865755,26.304183896519945
modified_reinhard,ref1,0.9613686098712302,0.9613686098712302,20.02706252263838,0.8447501860614981,13.195204741735116,0.08358910801361655,0.08358910801361655,13.002345949521327,0.4159178301874227,18.307160384170626
modified_reinhard,ref2,0.950837211759255,0.950837211759255,19.11168684010274,0.7961428225891536,14.757724616887089,0.05946684676771973,0.05946684676771973,12.560278824996884,0.26723344773379276,19.581550638257458
modified_reinhard,ref3,0.8914502978601464,0.8914502978601464,16.39326311616531,0.7648048208015252,17.142045507122525,0.08357729713678418,0.08357729713678418,11.09927883977705,0.4778185459577824,21.351135195402637
multitarget_macenko,multi,0.9146884362247171,0.9146884362247171,18.677008996147432,0.8358609704781326,14.365332426774868,,,,,
reinhard,ref1,0.9238644228669382,0.9238644228669382,16.2617613311441,0.8097173443134982,16.305256585602645,0.09355894126355524,0.09355894126355524,14.825807701621875,0.45775252358963214,14.785145592122317
reinhard,ref2,0.9282246585870797,0.9282246585870797,17.8069146427896,0.7912976977340315,16.094334976514162,0.05987019721657234,0.05987019721657234,12.893328890352167,0.2661439035191579,19.26996933276355
reinhard,ref3,0.8187247673771967,0.8187247673771967,13.368651083922394,0.7379529591508963,19.55572040542991,0.08527297639943562,0.08527297639943562,11.758897109199658,0.46967217680379414,19.561788091022475
vahadane,ref1,0.8764840268289362,0.8764840268289362,17.152531168806526,0.8092529280716351,15.092277466833218,0.09584002641575974,0.09584002641575974,14.519995823697942,0.4523618206099219,15.326710587877916
vahadane,ref2,0.8557312336679135,0.8557312336679135,17.435985923167934,0.7440921622657393,16.257847458773888,0.06154685307967201,0.06154685307967201,12.7893451445378,0.261772068493279,18.902693429032066
vahadane,ref3,0.7654661732734643,0.7654661732734643,14.288709101524097,0.6960516508539781,19.30437129586384,0.09386591504199272,0.09386591504199272,11.360883456591539,0.5249878777095466,20.919057065985275
zeng,ref1,0.9327459957737068,0.9327459957737068,17.101548591817252,0.8150948837859665,14.377997823305117,0.09853485039899733,0.09853485039899733,15.017493805487982,0.47713858806031656,14.732443081504725
zeng,ref2,0.9588577068666434,0.9588577068666434,19.38722138613831,0.8056519682941988,13.728525474499351,0.066047083523388,0.066047083523388,13.355949761708548,0.2800136082463728,18.02697233603595
zeng,ref3,0.8930447385670706,0.8930447385670706,14.345988517016677,0.6537934865094477,18.71664843425596,0.11491096007298902,0.11491096007298902,12.727632371477851,0.5703699720725087,17.622438965392046
