image,label,group
healthy/image003-2-roi1.tif,healthy,healthy/image003-2
healthy/image003-2-roi2.tif,healthy,healthy/image003-2
healthy/image003-2-roi3.tif,healthy,healthy/image003-2
healthy/image003-2-roi4.tif,healthy,healthy/image003-2
healthy/image003-2-roi5.tif,healthy,healthy/image003-2
healthy/image004-roi1.tif,healthy,healthy/image004
healthy/image004-roi2.tif,healthy,healthy/image004
healthy/image004-roi3.tif,healthy,healthy/image004
healthy/image004-roi4.tif,healthy,healthy/image004
healthy/image004-roi5.tif,healthy,healthy/image004
healthy/image005-2-roi1.tif,healthy,healthy/image005-2
healthy/image005-2-roi2.tif,healthy,healthy/image005-2
healthy/image005-2-roi3.tif,healthy,healthy/image005-2
healthy/image005-2-roi4.tif,healthy,healthy/image005-2
healthy/image006-2-roi1.tif,healthy,healthy/image006-2
healthy/image006-2-roi2.tif,healthy,healthy/image006-2
healthy/image006-2-roi3.tif,healthy,healthy/image006-2
healthy/image006-2-roi4.tif,healthy,healthy/image006-2
healthy/image006-2-roi5.tif,healthy,healthy/image006-2
healthy/image007-2-roi3.tif,healthy,healthy/image007-2
healthy/image011-2-roi1.tif,healthy,healthy/image011-2
healthy/image011-2-roi2.tif,healthy,healthy/image011-2
healthy/image026-2-roi1.tif,healthy,healthy/image026-2
healthy/image029-roi1.tif,healthy,healthy/image029
healthy/image029-roi2.tif,healthy,healthy/image029
healthy/image029-roi3.tif,healthy,healthy/image029
healthy/image029-roi4.tif,healthy,healthy/image029
healthy/image033-roi1.tif,healthy,healthy/image033
healthy/image033-roi2.tif,healthy,healthy/image033
healthy/image034-roi1.tif,healthy,healthy/image034
healthy/image034-roi2.tif,healthy,healthy/image034
healthy/image034-roi3.tif,healthy,healthy/image034
healthy/image034-roi4.tif,healthy,healthy/image034
healthy/image035-roi2.tif,healthy,healthy/image035
healthy/image035-roi3.tif,healthy,healthy/image035
healthy/image065-roi1.tif,healthy,healthy/image065
healthy/image065-roi2.tif,healthy,healthy/image065
healthy/image065-roi3.tif,healthy,healthy/image065
healthy/image065-roi4.tif,healthy,healthy/image065
healthy/image065-roi5.tif,healthy,healthy/image065
healthy/image066-roi1.tif,healthy,healthy/image066
healthy/image066-roi2.tif,healthy,healthy/image066
healthy/image066-roi3.tif,healthy,healthy/image066
healthy/image066-roi4.tif,healthy,healthy/image066
healthy/image067-roi1.tif,healthy,healthy/image067
healthy/image067-roi2.tif,healthy,healthy/image067
healthy/image067-roi3.tif,healthy,healthy/image067
healthy/image067-roi4.tif,healthy,healthy/image067
healthy/image067-roi5.tif,healthy,healthy/image067
healthy/image071-roi1.tif,healthy,healthy/image071
healthy/image071-roi2.tif,healthy,healthy/image071
healthy/image071-roi3.tif,healthy,healthy/image071
healthy/image073-roi1.tif,healthy,healthy/image073
healthy/image073-roi2.tif,healthy,healthy/image073
healthy/image073-roi3.tif,healthy,healthy/image073
healthy/image073-roi4.tif,healthy,healthy/image073
healthy/image074-roi1.tif,healthy,healthy/image074
healthy/image074-roi2.tif,healthy,healthy/image074
healthy/image074-roi3.tif,healthy,healthy/image074
healthy/image074-roi4.tif,healthy,healthy/image074
healthy/image075-roi1.tif,healthy,healthy/image075
healthy/image075-roi2.tif,healthy,healthy/image075
healthy/image075-roi3.tif,healthy,healthy/image075
healthy/image077-roi1.tif,healthy,healthy/image077
healthy/image077-roi2.tif,healthy,healthy/image077
healthy/image078-roi1.tif,healthy,healthy/image078
healthy/image078-roi2.tif,healthy,healthy/image078
healthy/image080-roi2.tif,healthy,healthy/image080
healthy/image080-roi3.tif,healthy,healthy/image080
healthy/image080-roi4.tif,healthy,healthy/image080
